@relation '<netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V-weka.filters.supervised.instance.Resample-B0.0-S1-Z50.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R4-5,8-10,13-19,22,27,29-33,36-37-weka.filters.unsupervised.attribute.Remove-R13-14'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
59,11684,48,198,1500,1500,270,237109,590025037,328559,1234320,378295,38,22,2380,1924,vpn
3145,1237492,2667,393,4420,11720,1216,139363,590023600,2067969,15113437,2354034,2143,1884,125820,106684,vpn
2314,739550,1861,319,2960,19020,1497,163913,590026046,2214424,16414159,2978067,1570,1397,92580,74444,vpn
1471,413928,1207,281,2164,16100,1548,168248,590025261,1386368,9463174,1795223,990,878,58860,48284,vpn
964,273872,823,284,2960,11720,1184,158172,590028376,1112832,10506575,1806702,672,565,38580,32924,vpn
2439,593328,2330,243,1500,23400,3184,69874,590023851,892652,9343526,1502299,1692,1976,97580,93204,vpn
2542,785840,2216,309,1500,21940,2435,145044,590006004,1760076,11391931,2369318,1732,1714,101700,88644,vpn
1491,434142,1226,291,1500,11720,1191,140117,590025263,1081416,9660501,1753746,994,909,59660,49044,vpn
2016,694904,1710,344,1500,13180,1419,135651,590025674,1584851,21671921,2807703,1453,1232,80660,68404,vpn
4833,1424794,4600,294,2960,29240,3416,93845,590029822,1392417,7544208,1680189,3064,3792,193340,184004,vpn
1541,549068,1277,356,4420,14640,1768,158010,590025228,1448243,15530279,2491858,1074,933,61660,51084,vpn
1609,585588,1309,363,1500,16100,1605,158325,590024604,1660541,19147761,3068975,1016,925,64380,52364,vpn
795,260250,688,327,1500,13180,1446,130574,590025438,1081339,5797079,1415652,557,487,31820,27524,vpn
2038,633594,1661,310,2116,13180,1623,168776,590025761,1759744,16690679,2565350,1387,1213,81540,66444,vpn
40,7590,34,189,1500,1500,313,241201,590026011,371318,1105669,372327,24,17,1620,1364,vpn
1345,377040,1213,280,1500,14640,1931,130511,590027574,1027995,18311854,2334911,924,944,53820,48524,vpn
138,26330,121,190,1500,2960,538,135972,590025802,342214,1568764,355314,85,71,5540,4844,vpn
1144,381840,995,333,2334,8800,994,180063,590024578,1510637,7428681,1960327,835,643,45780,39804,vpn
1152,269658,1060,234,1560,27780,2335,128082,590027328,863484,6563481,1107081,793,844,46100,42404,vpn
3746,1177274,3107,314,2960,26320,1943,130088,590024679,2607913,18659915,3216680,2510,2439,149860,124284,vpn
