Version,Protocol,SrcAddr,DestAddr,SrcPort,DestPort,SeqNum,dataSize
4,6,54.230.197.88,192.168.54.18,443,33308,2085958,10220
4,6,54.230.197.88,192.168.54.18,443,33308,2096178,2920
4,6,54.230.197.88,192.168.54.18,443,33308,2099098,21900
4,6,54.230.197.88,192.168.54.18,443,33308,2120998,4380
4,6,54.230.197.88,192.168.54.18,443,33308,2125378,2920
4,6,54.230.197.88,192.168.54.18,443,33308,2128298,4380
4,6,54.230.197.88,192.168.54.18,443,33308,2132678,5840
4,6,54.230.197.88,192.168.54.18,443,33308,2138518,4380
4,6,54.230.197.88,192.168.54.18,443,33308,2142898,44
4,6,58.96.70.1,192.168.54.18,443,49768,1756800,37
4,6,58.96.70.1,192.168.54.18,443,49768,1756837,0
4,6,58.96.70.1,192.168.54.18,443,49768,1756837,1452
4,6,58.96.70.1,192.168.54.18,443,49768,1758289,1460
4,6,58.96.70.1,192.168.54.18,443,49768,1759749,1444
4,6,58.96.70.1,192.168.54.18,443,49768,1761193,1460
4,6,58.96.70.1,192.168.54.18,443,49768,1762653,989
4,6,58.96.70.1,192.168.54.18,443,49768,1763642,0
4,6,58.96.70.1,192.168.54.18,443,49768,1763642,90
4,6,58.96.70.1,192.168.54.18,443,49768,1763732,1460
4,6,58.96.70.1,192.168.54.18,443,49768,1765192,1444
4,6,58.96.70.1,192.168.54.18,443,49768,1766636,1460
4,6,58.96.70.1,192.168.54.18,443,49768,1768096,1444
4,6,58.96.70.1,192.168.54.18,443,49768,1769540,1460
4,6,58.96.70.1,192.168.54.18,443,49768,1771000,1444
4,6,58.96.70.1,192.168.54.18,443,49768,1772444,1460
4,6,58.96.70.1,192.168.54.18,443,49768,1773904,761
4,6,178.255.83.235,192.168.54.18,443,50280,1778766,0
4,6,178.255.83.235,192.168.54.18,443,50280,1778767,2920
4,6,178.255.83.235,192.168.54.18,443,50280,1781687,1460
4,6,178.255.83.235,192.168.54.18,443,50280,1783147,1119
