@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
174,40660,161,124408,40,233,1500,311,40,772,10260,1265,12,68921,972847,159623,4,79967,1060501,164819,590030197,3141,780751,2497759,889854,1062709,38502545,362655855,92817034,10,2541,10,7775,114,112,0,0,6980,6444,vpn
786,249262,706,722518,40,317,1500,402,40,1023,16100,1677,9,56325,1210820,126908,3,64459,995057,130496,590025275,27029,989933,14102759,2180640,1057855,12397233,177291792,28735015,17,5539,15,16055,527,531,0,0,31460,28244,vpn
1480,523460,1278,1216427,40,353,1500,417,40,951,14640,1725,20,57603,972790,131450,3,67596,1076578,133356,590025810,27744,1711566,16730576,2780343,1054000,10294846,87751806,17826107,29,10469,25,24328,1059,914,0,0,59220,51124,vpn
1104,384598,929,568669,40,348,2960,450,40,612,11720,1233,18,70649,1022651,140861,5,84528,1082697,146904,590026705,287,974638,9188788,1418232,1017247,6577311,76632592,12017411,13,4868,11,7198,755,626,0,0,44180,37164,vpn
1199,342434,1018,565125,40,285,1500,355,40,555,7340,1049,9,83933,1217757,173526,18,101833,1079743,175449,590005830,5524,1448718,8523484,1983202,1055145,7081094,62827655,10015728,17,4891,14,8073,863,700,0,0,47980,40724,vpn
39,7550,34,6752,40,193,1500,290,40,198,1500,313,42,112805,972691,232259,324,149080,1018996,269851,50822285,96072,399176,1106181,360694,1052513,4643134,9838590,3028635,3,686,3,613,25,16,0,0,1580,1364,vpn
1206,363626,998,755426,40,301,1500,378,40,756,16100,1591,12,89249,983894,176397,5,110765,1161921,197039,590025213,26605,2025343,21842098,3175913,1005708,9282345,99090294,18363852,22,6860,18,14253,853,739,0,0,48260,39924,vpn
103,20188,85,25914,40,196,1500,268,40,304,4420,619,64,78874,972316,141980,332,96260,1184237,163599,590026220,27663,362166,1212354,352661,1055738,27717074,392959666,84536237,4,917,3,1177,63,53,0,0,4140,3404,vpn
1595,498436,1325,1257932,40,312,2444,405,40,949,14640,1796,10,64225,972564,132561,4,79164,1165117,148407,590025338,19,1883921,15799662,2966007,1038890,9007585,89068511,16538038,29,9062,24,22871,1065,1001,0,0,63820,53004,vpn
2937,743452,2751,5840490,40,253,1500,294,40,2123,27780,2605,9,39538,1197588,104291,2,44091,1006754,105501,515218011,13966,1168057,7928126,1580802,1028482,3774730,9420367,1848947,27,7080,26,55623,2003,2176,0,0,117500,110044,vpn
