@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V-weka.filters.supervised.instance.Resample-B0.0-S1-Z50.0-no-replacement-V

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
1494,399426,1347,1470408,40,267,1500,347,40,1091,14640,1778,8,65089,1138418,157983,3,73094,1022823,159307,590027865,2017,1173581,7634414,1620504,1058120,6096224,55431180,7006234,18,4871,16,17931,1015,1041,0,0,59780,53884,vpn
1363,468592,1199,1082359,40,343,2960,439,40,902,19020,1866,9,65158,1047422,145916,2,74497,1114077,144098,590025297,20,937237,8781199,1779045,1018728,5465894,49805175,7375909,14,5038,12,11638,939,859,0,0,54540,47964,vpn
1687,565738,1380,1058981,40,335,4048,444,40,767,13180,1468,10,67434,977307,134638,3,82653,1153151,151166,590024394,23988,1474635,14747324,2172482,1043351,6372694,70706128,10944002,22,7443,18,13933,1125,1035,0,0,67500,55204,vpn
1806,553048,1522,984122,40,306,2352,393,40,646,11720,1165,10,73550,1038204,146225,8,86250,1068320,151813,590029957,28825,1220334,12782019,2140219,1014120,4387376,45571374,5034779,17,5217,14,9284,1233,1086,0,0,72260,60884,vpn
300,65980,269,406807,40,219,1500,239,40,1512,13180,2550,11,66660,970439,146072,4,82909,1087595,154436,590025843,27370,586487,2054245,622283,1069722,15786828,57108189,17419374,8,1783,7,10994,211,167,0,0,12020,10764,vpn
1669,513616,1373,968601,40,307,1500,389,40,705,13180,1417,11,65516,1110346,145314,3,81423,1032292,153262,590024884,37828,1661489,6018618,1652730,1036848,7390255,57319159,10554242,25,7782,20,14675,1158,1011,0,0,66780,54924,vpn
1957,659388,1693,1337275,40,336,1608,400,40,789,14640,1457,11,63510,1139907,140701,3,73832,1072533,143586,590025093,23555,1702350,13844846,2181392,1003389,6468798,57652371,9524866,26,9032,23,18318,1442,1222,0,0,78300,67724,vpn
39,7494,33,6584,40,192,1500,291,40,199,1500,317,68,115549,975966,222641,331,160458,1099804,246833,590024846,23012,403080,1127060,383807,1056256,58559096,544278912,170691603,3,681,3,598,24,16,0,0,1580,1324,vpn
1301,388120,1121,1244745,40,298,1500,387,40,1110,14640,2020,11,60329,1229420,133700,3,71511,1025539,140091,592082701,37513,1192267,18411403,2586856,1047563,7898354,49526188,11336381,19,5880,16,18859,883,855,0,0,52060,44844,vpn
40,7590,34,6752,40,189,1500,287,40,198,1500,313,135,110669,972781,234416,404,163566,1172988,271877,590026566,12773,374168,1201004,398708,1058723,53230595,538785642,161064226,3,632,2,562,25,16,0,0,1620,1364,vpn
2305,757650,1934,1482038,40,328,2960,421,40,766,11720,1352,9,66462,1221737,144514,2,79615,1153362,152726,590026194,27375,1767654,10135210,2437413,1011059,5153034,73306832,10100408,26,8809,22,17233,1586,1400,0,0,92220,77364,vpn
1769,649678,1478,1572629,40,367,2960,471,40,1064,17560,1730,9,51675,972908,124299,2,62135,1153777,137438,590025336,26950,1725450,17009345,3005016,1008458,9588009,109395741,18910773,33,12258,27,29672,1116,1103,0,0,70780,59124,vpn
1701,529748,1545,3395873,40,311,1500,374,40,2197,24860,3249,8,29669,1210476,87052,2,35490,1116278,93859,589998694,57340,1200592,17104506,2913937,1037997,11883810,64232080,15757644,36,11516,33,73823,1206,1163,0,0,68060,61804,vpn
833,213424,674,410640,40,256,2960,382,40,609,14640,1319,19,84283,972325,145257,5,102348,1060137,174173,590025514,27675,758265,7677105,1140728,1000766,6093679,51618856,9244179,9,2453,7,4720,515,470,0,0,33340,26964,vpn
