@relation '<netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R4-5,8-10,13-19,22,27,29-33,36-37-weka.filters.unsupervised.attribute.Remove-R13-14'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
1244,347228,1020,279,2960,14640,1445,186916,590022412,1271417,10137626,1986695,852,753,49780,40804,vpn
1587,493706,1363,311,2392,13180,1351,135677,590028077,1133259,5545854,1363334,1092,962,63500,54524,vpn
1136,359978,951,316,2960,14640,1576,143986,590024161,1547294,9029814,2170202,802,707,45460,38044,vpn
1204,425878,1048,353,2960,19020,1582,176545,575014105,1653673,22880642,3633121,897,586,48180,41924,vpn
243,100442,210,413,1500,10260,1810,127336,590025205,695443,5736743,1383981,175,140,9740,8404,vpn
2479,963274,2113,388,2960,14640,1361,136648,590025767,1580157,10964601,1872546,1687,1493,99180,84524,vpn
1019,317168,829,311,2538,13180,1559,168385,590027857,1474077,15527059,2625245,674,614,40780,33164,vpn
1415,438854,1201,310,2960,13180,1409,137616,590026947,1036002,7623150,1347912,971,862,56620,48044,vpn
610,182230,541,298,1500,29240,2503,159084,590017647,983661,5000955,1303020,437,364,24420,21644,vpn
1707,651960,1372,381,3354,20480,1835,141106,590026943,1648956,16130757,2787162,1132,983,68300,54884,vpn
1500,484724,1278,323,2090,8800,1277,145154,590025362,1222998,15556087,2159701,1054,922,60020,51124,vpn
4136,1078370,3686,260,1500,29240,3006,133648,933444870,1397703,19530058,2462975,2722,2747,165460,147444,vpn
845,231986,693,274,2960,10260,1108,176998,590025190,965423,9349472,1503982,535,486,33820,27724,vpn
40,7590,34,189,1500,1500,313,253600,590026807,381723,1143364,371332,25,16,1620,1364,vpn
534,142414,481,266,1500,11720,1333,183028,590026200,1097270,8805150,1592279,393,327,21380,19244,vpn
38,7510,32,197,1500,1500,321,251971,51025264,405002,1123428,376638,24,17,1540,1284,vpn
40,7590,35,189,1500,1500,312,241287,590027283,337309,1130632,366751,25,15,1620,1404,vpn
2866,883926,2786,308,4060,42380,4478,87279,590025814,1045044,7486423,1553306,1874,2351,114660,111444,vpn
494,122154,448,247,1500,19020,2351,140438,590024986,634534,5813098,1207259,320,328,19780,17924,vpn
1391,397868,1136,286,1500,13180,1557,146619,590027286,1216351,18444416,2558742,956,862,55660,45444,vpn
3845,1301602,3533,338,4420,43840,5197,117138,590022103,1723162,12924810,2487413,2357,2887,153820,141324,vpn
3161,1044034,2622,330,2960,14640,1632,151625,590025505,2058724,30236809,4333111,2094,1970,126460,104884,vpn
1748,592862,1442,339,1500,26320,2241,118480,590028488,1752256,18256498,3188828,1216,1109,69940,57684,vpn
2534,920088,2145,363,2960,8800,1132,140691,590027544,1539861,9384964,1840938,1744,1515,101380,85804,vpn
1568,451456,1334,287,1500,29240,2278,149474,590025105,1323690,14954622,2257453,1060,1004,62740,53364,vpn
1382,349032,1231,252,1500,16100,2546,158204,322670846,1122227,7883979,1537997,872,992,55300,49244,vpn
1437,424634,1236,295,1500,11720,1149,168689,590026362,1614399,10434272,2174998,1024,878,57500,49444,vpn
1580,509832,1410,322,2960,14640,1757,137377,590026653,1146618,9264290,1851961,1100,1099,63220,56404,vpn
1455,211184,1179,145,1500,5880,481,156968,1296066156,514374,4887095,578264,764,849,58220,47164,vpn
2059,610134,1819,296,1500,13180,1437,143927,590025528,1585225,9942974,2159175,1442,1361,82380,72764,vpn
1293,396152,1120,306,2960,13180,1638,161523,590019409,1098094,8354247,1653386,899,789,51740,44804,vpn
76,16268,65,214,1500,1500,434,167107,590026566,419947,1409737,449025,46,39,3060,2604,vpn
40,7590,34,189,1500,1500,313,255362,590026065,386792,1176529,385798,25,16,1620,1364,vpn
1554,441214,1321,283,1500,13180,1510,186384,590025351,1629572,15234957,2507464,1071,1021,62180,52844,vpn
788,214398,731,272,2960,13180,1572,181084,590028539,1003629,6957300,1411450,545,473,31540,29244,vpn
1695,563512,1469,332,2960,20480,1755,141544,590024498,1402676,13672207,2414979,1210,1076,67820,58764,vpn
917,295072,796,321,1500,11720,1353,139061,590025452,1033954,10004472,1816023,666,551,36700,31844,vpn
39,7494,33,192,1500,1500,317,265512,590025091,379332,1175490,401194,24,16,1580,1324,vpn
2264,858826,1925,379,4420,23400,1882,132910,590024454,1541676,18330034,3029918,1569,1435,90580,77004,vpn
1155,529380,1008,458,4420,19020,1509,130592,590024184,1232906,8858923,1849998,790,692,46220,40324,vpn
1024,284324,862,277,1500,5880,895,160597,590024879,1271869,6320114,1420845,706,627,40980,34484,vpn
1033,308256,870,298,1500,14640,1190,144419,590024959,915242,10100460,1503518,698,623,41340,34804,vpn
1131,339390,961,300,1500,10260,1027,131455,590025124,1030683,7308658,1467519,789,691,45260,38444,vpn
1156,355518,1036,307,2960,11720,1358,159706,590025913,1475649,9464495,1908974,827,745,46260,41444,vpn
1148,388814,973,338,2960,16100,2134,139442,590025590,1194103,16508190,2481162,755,724,45940,38924,vpn
1639,491246,1411,299,2960,8800,1217,167768,590031590,2233893,10150424,2568249,1153,1037,65580,56444,vpn
1504,426696,1211,283,2240,14640,1213,173206,590024203,1666695,17329251,2675263,1019,883,60180,48444,vpn
1623,494172,1375,304,2960,14640,1573,146808,590024678,1082000,9572898,1896331,1048,1000,64940,55004,vpn
3136,874074,2715,278,2960,16100,2219,133775,590027696,1475628,16541909,2075032,2137,2207,125460,108604,vpn
517,143356,450,277,1500,7340,1097,166937,590025939,931193,7743955,1369139,379,308,20700,18004,vpn
1855,594584,1836,320,1766,27780,4068,109917,590025544,931865,8636289,1504197,1129,1538,74220,73444,vpn
2468,772668,2103,313,1500,14640,2245,137967,590026855,2318246,17877797,3493989,1715,1626,98740,84124,vpn
934,258392,763,276,2960,14640,1230,177720,590026171,1291544,4105987,1091345,585,549,37380,30524,vpn
1872,630704,1635,336,1530,14640,1610,149704,590025207,2090090,21927246,3605811,1374,1182,74900,65404,vpn
1570,486364,1346,309,2960,11720,1150,147956,590025288,1500174,8757878,1831266,1096,981,62820,53844,vpn
4806,2044210,3983,425,2960,13180,1051,123895,590025367,9086952,228346727,39563433,2955,2409,192260,159324,vpn
74,20170,69,272,1500,1500,232,255193,285853741,1065152,6516641,1881392,63,8,2980,2764,vpn
2530,940134,2158,371,2960,10260,1081,130032,590025237,1386573,17685388,2116875,1727,1513,101220,86324,vpn
2002,646648,1789,323,3404,30700,3213,135235,590027583,1534966,14963286,2380402,1265,1396,80100,71564,vpn
