@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
4654,2023440,3916,2768661,40,434,2960,521,40,707,10260,1179,9,48264,1165878,109386,1,59009,1083901,116231,590025763,21,1787756,9530153,1933318,1006968,2844039,9752596,1475185,36,15808,30,21630,3163,2720,0,0,186180,156644,vpn
311,75910,270,199340,40,244,1500,307,40,738,8800,1482,20,79978,973690,167056,17,93983,1160638,177404,590024263,26559,781849,4373010,873332,1047526,18859563,203859498,39954208,10,2448,8,6430,215,186,0,0,12460,10804,vpn
1346,453710,1160,803749,40,337,1876,412,40,692,14640,1292,13,58393,976159,130766,3,69343,1202088,136544,590010029,28478,1035596,4654735,1218555,1019930,6817396,54340003,10104673,17,5969,15,10575,961,853,0,0,53860,46404,vpn
1463,394412,1229,834061,40,269,1500,359,40,678,13180,1355,8,67292,973883,140661,2,80627,1083080,153207,590025171,27528,2072397,14946598,3050930,1009066,10709184,92828433,17380254,31,8391,26,17745,990,960,0,0,58540,49164,vpn
1186,336946,1018,557132,40,284,1500,362,40,547,8800,980,16,76230,975611,158085,3,92232,1122605,163414,590025433,26882,1361536,7487663,1535053,1009610,7557613,45598317,9272653,17,5029,15,8315,831,755,0,0,47460,40724,vpn
1162,408292,977,1094410,40,351,2960,443,40,1120,14640,1833,9,52124,972616,127683,3,64352,1065656,138957,590025499,6252,1238083,17483138,2721747,1006903,10777986,110732653,19916033,23,8165,19,21888,784,745,0,0,46500,39084,vpn
1153,322636,949,754280,40,279,1500,369,40,794,14640,1512,9,74336,1160398,153918,4,90710,1182069,174528,590025295,6064,1174836,14974480,2024598,1045243,7237312,72409486,12760748,16,4544,13,10623,770,715,0,0,46140,37964,vpn
1503,452890,1251,1112346,40,301,2564,388,40,889,16100,1721,7,61206,972467,131505,7,74608,1136697,137819,590029324,27486,1435106,8549540,2040664,1045611,7907659,54121074,11590232,23,7076,19,17380,1013,950,0,0,60140,50044,vpn
910,261530,785,372362,40,287,1500,358,40,474,7340,973,20,81695,972172,164944,9,97380,1179426,163615,590026367,24662,1197097,6091223,1313482,1002705,8455841,57728793,10457753,14,4218,12,6005,671,521,0,0,36420,31404,vpn
1382,470516,1199,953506,40,340,2960,416,40,795,14640,1354,8,62858,1030525,141068,3,73859,1144685,142294,590025137,28103,1831385,18185808,3089175,1047693,10683375,72882940,14872494,28,9802,24,19864,989,861,0,0,55300,47964,vpn
972,296044,825,577778,40,304,2960,397,40,700,17560,1612,12,100209,1018909,172281,3,117457,1066171,180349,590029575,1928,1429451,16674665,2927227,1046596,7625934,201715108,24665227,14,4485,12,8754,695,531,0,0,38900,33004,vpn
962,299750,810,526252,40,311,2960,415,40,649,13180,1208,15,78080,991700,146450,9,93284,1083091,160426,590025819,39383,1002282,7706467,1614392,1114134,7178599,58198431,12190087,13,4106,11,7208,650,557,0,0,38500,32404,vpn
1494,399426,1347,1470408,40,267,1500,347,40,1091,14640,1778,8,65089,1138418,157983,3,73094,1022823,159307,590027865,2017,1173581,7634414,1620504,1058120,6096224,55431180,7006234,18,4871,16,17931,1015,1041,0,0,59780,53884,vpn
