@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V-weka.filters.supervised.instance.Resample-B0.0-S1-Z50.0-no-replacement

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
1282,390744,1084,703004,40,304,1588,380,40,648,14640,1270,16,70821,973104,147532,9,85457,1051633,156994,590025989,27308,1441711,5839552,1490855,1011929,8051583,66851997,12162100,20,6202,17,11158,922,763,0,0,51300,43364,vpn
758,189920,615,255055,40,250,2960,372,40,414,5880,828,21,104948,986540,187023,10,128740,1100839,209773,590027581,29490,866168,7549877,1159789,1043732,6065142,57421398,10362776,8,2208,7,2965,482,426,0,0,30340,24604,vpn
69,12472,58,13775,40,180,1500,260,40,237,2960,449,66,100620,976477,179521,393,122755,1226643,213832,590024972,25086,327420,1254580,355423,1050019,32433554,255284976,75359135,3,656,3,725,42,32,0,0,2780,2324,vpn
590,152778,533,469255,40,258,1500,315,40,880,14640,1877,13,86855,1108383,183241,3,102136,1053147,183743,590027402,27532,1062521,9489377,1852624,1076239,11207580,52313583,14303708,12,3117,10,9576,433,363,0,0,23620,21324,vpn
956,264730,812,481715,40,276,1500,360,40,593,8800,1045,10,71690,1215296,154423,5,84400,1004607,153689,590024892,9134,1040169,5712551,1352947,1030359,8308794,93333066,15433709,14,4136,12,7526,652,589,0,0,38260,32484,vpn
2120,636282,1760,1234350,40,300,2960,382,40,701,13180,1429,10,70638,1140060,143698,3,85221,1067360,157218,590028524,27636,1533771,13584060,2271679,1017407,4660909,79729493,8420077,22,6627,18,12857,1485,1295,0,0,84820,70404,vpn
477,123638,426,433869,40,259,2960,334,40,1018,21940,2233,11,67579,977650,156657,5,83652,1206217,153793,590024456,26467,855654,4688960,1060661,1052848,14251237,59854298,18102508,11,3090,10,10846,343,286,0,0,19100,17044,vpn
85,16952,70,17180,40,199,1500,270,40,245,1500,345,56,67480,972326,154499,408,106274,1135411,180262,590025832,28010,391605,1379743,410321,1053708,36460533,267925995,67922547,5,997,4,1010,54,41,0,0,3420,2804,vpn
493,135794,435,486758,40,275,1614,362,40,1118,13180,2067,22,66620,1141042,169288,5,77420,1116228,164137,590025920,260,801579,5553353,1267707,1049057,13929029,89132896,17149632,12,3312,10,11872,337,307,0,0,19740,17404,vpn
1883,681760,1605,1313456,40,362,2960,444,40,818,10260,1422,10,60542,1223985,138478,1,71835,1047370,143693,590025561,27436,1638724,8440235,2082621,1048611,6888620,37143609,6459477,26,9739,22,18763,1327,1161,0,0,75340,64204,vpn
